,x,y
0,0,795.0
1,1,3954.7127669521124
2,2,7574.570383912249
3,3,3986.6694112803625
4,4,4238.780487804878
5,5,4589.982964224872
6,6,14399.50495049505
7,7,18646.39534883721
8,8,69913.61111111111
9,9,78536.25
10,10,44468.50746268657
11,11,107085.625
12,12,112760.0
13,13,73065.0
14,14,91495.45454545454
15,15,87682.0
16,16,204780.0
17,17,113505.0
18,18,185620.0
19,20,9475.0
20,21,0.0
21,22,319186.6666666667
22,23,8395.0
23,24,5860.0
24,26,588490.0
25,28,151865.0
26,30,9682.173913043478
27,31,83642.85714285714
28,33,77230.0
29,39,3660.0
30,40,21425.0
31,41,69360.0
32,45,7710.0
33,48,0.0
34,50,7100.0
35,53,12270.0
36,56,3000.0
37,60,12225.0
38,69,15820.0
39,90,38500.0
