,x,y
0,0,5563.333333333333
1,1,3819.493684634655
2,2,15831.782820097245
3,3,15560.47281323877
4,4,14557.465940054495
5,5,12842.632743362832
6,6,37957.35849056604
7,7,40801.21951219512
8,8,67553.5294117647
9,9,83787.41935483871
10,10,72486.7469879518
11,11,128427.35294117648
12,12,124363.18181818182
13,13,147343.63636363635
14,14,70846.84210526316
15,15,65540.55555555556
16,16,159552.0
17,17,92363.33333333333
18,18,185418.0
19,19,0.0
20,20,8760.0
21,21,1466.6666666666667
22,22,102785.0
23,23,232080.0
24,24,8810.0
25,26,71060.0
26,27,0.0
27,28,5962.962962962963
28,30,2424.0
29,32,2370.0
30,35,84385.0
31,45,102490.0
32,46,143430.0
33,48,41200.0
34,50,86830.0
35,51,111220.0
36,58,1010.0
37,60,0.0
38,90,3000.0
39,98,3000.0
40,103,29930.0
