,x,y
0,0,19032.310286677908
1,1,8303.285150301264
2,2,24940.088028169015
3,3,25020.796703296703
4,4,58994.42953020134
5,5,48242.57627118644
6,6,74934.8905109489
7,7,42814.07142857143
8,8,83272.98136645963
9,9,62101.05538140021
10,10,89423.74133949191
11,11,142596.37130801688
12,12,148881.71548117156
13,13,180462.38095238095
14,14,127752.10407239819
15,15,167167.5
16,16,130841.7943107221
17,17,181842.19101123596
18,18,227849.90049751243
19,19,254999.875
20,20,277755.84210526315
21,21,268127.2727272727
22,22,319028.29411764705
23,23,306812.6114649681
24,24,339807.41071428574
25,25,377998.26923076925
26,26,411188.63636363635
27,27,443513.72881355934
28,28,98385.42087542088
29,29,422537.20930232556
30,30,109760.08152173914
31,31,373460.2105263158
32,32,290103.5632183908
33,33,339835.55555555556
34,34,393988.03921568627
35,35,166411.72043010753
36,36,398837.5438596491
37,37,438852.14285714284
38,38,489969.0
39,39,408983.1034482759
40,40,497226.0714285714
41,41,459176.92307692306
42,42,316035.5263157895
43,43,512326.25
44,44,524163.5135135135
45,45,603802.6666666666
46,46,735630.9090909091
47,47,529413.3333333334
48,48,516026.6666666667
49,49,1154235.0
50,50,438854.44444444444
51,51,817125.0
52,52,508024.28571428574
53,53,835481.8181818182
54,54,246340.0
55,55,1150026.6666666667
56,56,0.0
57,57,467355.71428571426
58,59,702140.0
59,60,9785.185185185184
60,61,424450.0
61,63,1207637.5
62,65,618005.0
63,66,416725.0
64,67,193535.0
65,68,808113.3333333334
66,69,1863690.0
67,70,0.0
68,73,385780.0
69,74,230800.0
70,75,671190.0
71,79,2008920.0
72,84,0.0
73,85,751860.0
74,89,2395860.0
75,90,12600.0
76,91,0.0
77,93,227100.0
78,96,458960.0
79,98,0.0
80,99,49989.09090909091
81,100,138400.0
82,102,461920.0
83,104,1075720.0
84,105,244050.0
85,106,0.0
