,x,y
0,0,3097.0
1,1,4180.4549483214705
2,2,6463.967889908256
3,3,5677.848557692308
4,4,7173.7908496732025
5,5,4886.36165577342
6,6,11837.297297297297
7,7,7815.0526315789475
8,8,32847.0
9,9,58695.71428571428
10,10,11173.939393939394
11,11,86942.85714285714
12,12,30040.0
13,13,252210.0
14,14,11596.904761904761
15,15,9024.390243902439
16,16,32665.0
17,17,80356.66666666667
18,18,212530.0
19,19,1710.0
20,20,42521.875
21,21,1400.0
22,22,120.0
23,28,4632.8125
24,29,3515.0
25,30,7580.0
26,32,4970.0
27,35,0.0
28,42,0.0
29,43,18300.0
30,51,2080.0
31,56,0.0
32,60,5906.060606060606
33,63,0.0
34,84,9125.0
35,90,2470.5882352941176
36,91,0.0
37,94,286630.0
38,98,0.0
39,106,0.0
40,120,2000.0
41,180,3000.0
