,x,y
0,0,11570.0
1,1,3975.7716808462833
2,2,16585.10028653295
3,3,12965.125786163522
4,4,19790.408163265307
5,5,25377.915492957745
6,6,47558.91089108911
7,7,56353.421633554084
8,8,82673.56756756757
9,9,92458.30357142857
10,10,105647.2514619883
11,11,131085.06666666668
12,12,160426.57534246575
13,13,171153.33333333334
14,14,131919.42857142858
15,15,155413.15789473685
16,16,265977.14285714284
17,17,207607.5
18,18,227540.0
19,19,122490.0
20,20,159654.0
21,21,142250.0
22,22,329316.6666666667
23,23,16420.0
24,25,189490.0
25,27,227250.0
26,28,8700.0
27,29,14910.0
28,30,20974.166666666668
29,31,566620.0
30,33,57885.0
31,34,79470.0
32,35,52055.0
33,36,92340.0
34,37,232630.0
35,38,117870.0
36,44,0.0
37,45,314735.0
38,48,42176.666666666664
39,49,3390.0
40,50,36373.333333333336
41,51,60830.0
42,60,28170.0
43,93,55810.0
