,x,y
0,0,51560.0
1,1,12088.67933528343
2,2,16193.086367485183
3,3,14238.181818181818
4,4,24279.10220994475
5,5,15721.136120042873
6,6,32174.638783269962
7,7,14906.357982703334
8,8,44119.192825112106
9,9,65242.421524663674
10,10,21376.741889985897
11,11,66179.23611111111
12,12,53739.42760942761
13,13,95517.45614035087
14,14,17126.08761061947
15,15,20950.80674448768
16,16,64443.686274509804
17,17,120353.17757009345
18,18,93818.18791946309
19,19,257591.47727272726
20,20,57394.48844884489
21,21,44343.3734939759
22,22,218235.69892473117
23,23,241990.48387096773
24,24,175367.65625
25,25,154221.94244604316
26,26,243054.58333333334
27,27,294674.18604651163
28,28,61445.94776748105
29,29,314842.5
30,30,62951.604132680804
31,31,330907.2619047619
32,32,232779.86486486485
33,33,180922.53731343284
34,34,217993.27272727274
35,35,117787.1653543307
36,36,217884.4927536232
37,37,373826.4285714286
38,38,203340.0
39,39,664450.7692307692
40,40,159331.7741935484
41,41,549024.1176470588
42,42,206380.88888888888
43,43,363428.3333333333
44,44,529113.3333333334
45,45,207216.73913043478
46,46,524248.5714285714
47,47,490350.0
48,48,973832.5
49,49,259693.47826086957
50,50,146371.21951219512
51,51,484228.3333333333
52,52,856930.0
53,53,947218.75
54,54,596170.0
55,55,503752.0
56,56,169430.0
57,57,382625.0
58,58,359155.0
59,59,961655.0
60,60,105627.27272727272
61,61,1944180.0
62,62,1532616.6666666667
63,63,196807.63157894736
64,64,218071.42857142858
65,65,144536.875
66,66,909790.0
67,67,1644603.3333333333
68,68,34900.0
69,69,1190516.6666666667
70,70,202698.60465116278
71,71,0.0
72,72,497986.6666666667
73,73,697200.0
74,74,119500.0
75,75,149200.0
76,77,85900.0
77,80,158562.5
78,82,652310.0
79,83,144700.0
80,84,7940.0
81,86,0.0
82,87,2364260.0
83,90,129031.90476190476
84,91,45614.28571428572
85,92,270500.0
86,93,0.0
87,98,105733.33333333333
88,100,317800.0
89,101,2881670.0
90,104,0.0
91,108,590320.0
92,112,11900.0
93,115,34900.0
94,118,0.0
95,120,76100.0
96,121,4695910.0
97,135,111000.0
98,140,2000.0
99,168,2000.0
100,180,16800.0
101,191,1019630.0
