,x,y
0,0,1588.0597014925372
1,1,6024.371529099765
2,2,18307.317073170732
3,3,22219.627906976744
4,4,36159.529411764706
5,5,15300.128205128205
6,6,45852.02898550725
7,7,16849.74930362117
8,8,51000.833333333336
9,9,62693.508771929824
10,10,24335.497630331753
11,11,77518.06451612903
12,12,94575.625
13,13,141043.20754716982
14,14,38971.5350877193
15,15,56624.17475728155
16,16,150800.0
17,17,203112.88888888888
18,18,172034.64285714287
19,19,146352.27272727274
20,20,71292.60606060606
21,21,94522.5925925926
22,22,140641.07142857142
23,23,162539.44444444444
24,24,226933.0
25,25,71722.41379310345
26,26,142672.08333333334
27,27,208658.2142857143
28,28,49927.62808349146
29,29,140390.0
30,30,40441.56597774245
31,31,325261.65730337077
32,32,128552.5
33,33,156207.14285714287
34,34,222865.83333333334
35,35,21646.785714285714
36,36,86584.58333333333
37,37,64829.28571428572
38,38,84284.66666666667
39,39,181035.0
40,40,31616.415094339623
41,41,72626.0
42,42,31691.85185185185
43,43,275993.0
44,44,199098.33333333334
45,45,26375.034965034964
46,46,10695.0
47,48,247683.75
48,49,53764.0
49,50,40237.03703703704
50,51,184425.0
51,52,108920.0
52,53,38446.666666666664
53,54,56140.0
54,55,116597.5
55,56,33680.470588235294
56,57,117488.88888888889
57,58,180430.0
58,59,30700.0
59,60,21699.211822660098
60,61,34181.818181818184
61,62,35293.0
62,63,41492.94117647059
63,64,40695.0
64,65,7478.350515463918
65,66,5200.0
66,67,115595.0
67,68,185890.0
68,70,39483.018867924526
69,71,32220.0
70,72,99350.0
71,74,74400.0
72,75,116885.71428571429
73,76,466410.0
74,77,82462.5
75,78,32900.0
76,80,87883.33333333333
77,81,23700.0
78,82,30975.0
79,83,36000.0
80,84,37781.96721311475
81,85,57816.666666666664
82,86,90650.0
83,87,58300.0
84,88,81700.0
85,90,44419.29824561404
86,91,16019.101123595505
87,92,68816.66666666667
88,93,10880.0
89,95,34839.444444444445
90,97,73300.0
91,98,33634.09090909091
92,99,74921.53846153847
93,100,62259.09090909091
94,101,266790.0
95,105,84450.0
96,115,2000.0
97,120,49910.0
98,125,46583.333333333336
99,126,161025.0
100,127,84780.0
101,128,0.0
102,130,76450.0
103,134,10900.0
104,140,1500.0
105,150,49300.0
106,165,6430.0
107,168,56900.0
108,175,62380.0
109,180,85266.66666666667
110,200,80500.0
111,250,55000.0
