,x,y
0,0,2400.2803738317757
1,1,3687.4066532041384
2,2,34499.69696969697
3,3,15976.666666666666
4,4,61956.666666666664
5,5,6527.337278106509
6,6,28702.5
7,7,5073.529411764706
8,8,28068.333333333332
9,9,40503.333333333336
10,10,21441.176470588234
11,11,146208.57142857142
12,12,76250.0
13,13,151091.66666666666
14,14,19722.291666666668
15,15,11327.755102040815
16,16,241173.33333333334
17,17,147986.66666666666
18,18,98620.0
19,19,153850.0
20,20,39776.95652173913
21,21,55699.545454545456
22,22,197361.11111111112
23,23,25065.0
24,24,14822.666666666666
25,25,42238.0
26,26,1980.0
27,27,262575.0
28,28,9728.321167883212
29,29,23803.333333333332
30,30,15812.710698314413
31,31,245710.4255319149
32,32,7300.0
33,33,41757.5
34,34,81524.28571428571
35,35,3652.037037037037
36,36,89010.0
37,37,22325.714285714286
38,38,200922.5
39,39,3630.0
40,40,9300.0
41,42,3633.913043478261
42,43,0.0
43,44,5800.0
44,45,9452.941176470587
45,46,25930.0
46,47,20900.0
47,48,21300.0
48,49,2180.0
49,50,22931.11111111111
50,51,0.0
51,52,11500.0
52,53,0.0
53,54,338930.0
54,55,0.0
55,56,3854.4776119402986
56,57,25100.0
57,58,540.0
58,60,16451.737982039092
59,61,97145.0
60,62,27200.0
61,63,1630.7692307692307
62,64,14050.0
63,65,933.3333333333334
64,66,14450.0
65,67,19533.333333333332
66,68,29700.0
67,69,30200.0
68,70,8785.555555555555
69,71,31000.0
70,72,0.0
71,75,18100.0
72,77,3806.818181818182
73,78,20340.0
74,80,90034.0
75,81,0.0
76,82,0.0
77,84,11808.823529411764
78,85,7818.571428571428
79,86,14920.0
80,87,37700.0
81,90,26108.872901678656
82,91,1330.081300813008
83,92,0.0
84,93,0.0
85,95,0.0
86,96,22620.0
87,98,537.0283018867924
88,99,0.0
89,100,40446.666666666664
90,102,231915.0
91,108,46500.0
92,120,51600.0
93,126,2000.0
94,150,66275.0
95,180,19600.0
