,x,y
0,0,15433.684603886397
1,1,4964.343609712542
2,2,5978.628281117697
3,3,6433.260473588342
4,4,10985.588235294117
5,5,6381.433691756272
6,6,8648.285714285714
7,7,8057.362549800797
8,8,89238.41269841269
9,9,67745.64102564103
10,10,24586.356275303642
11,11,97241.52542372882
12,12,148043.33333333334
13,13,130523.33333333333
14,14,130981.49825783972
15,15,118850.35031847133
16,16,187111.5
17,17,203035.47619047618
18,18,229668.48484848486
19,19,218687.0
20,20,83014.84848484848
21,21,135864.09836065574
22,22,175020.0
23,23,164753.63636363635
24,24,119384.28571428571
25,25,137272.0
26,26,152555.0
27,27,298790.0
28,28,47048.275862068964
29,29,250945.0
30,30,53522.20973782772
31,31,568087.4358974359
32,32,337040.0
33,33,116270.0
34,34,0.0
35,35,57782.5
36,36,12710.0
37,40,14533.333333333334
38,41,0.0
39,42,2000.0
40,45,200930.0
41,46,49800.0
42,50,22500.0
43,52,559800.0
44,53,439780.0
45,56,16633.333333333332
46,60,33023.529411764706
47,63,176750.0
48,64,652880.0
49,65,165500.0
50,70,31000.0
51,84,5300.0
52,90,13816.666666666666
53,94,124910.0
54,95,55500.0
55,98,48800.0
56,100,43200.0
57,120,51600.0
