,x,y
0,0,2618.846153846154
1,1,3559.188536340343
2,2,12543.088607594937
3,3,15252.453987730061
4,4,13551.85696361355
5,5,12976.087602078693
6,6,39831.10192837466
7,7,34566.34444444445
8,8,75055.65121412804
9,9,94375.45977011495
10,10,79806.36075949368
11,11,123824.6218487395
12,12,142275.12987012987
13,13,146168.71212121213
14,14,101410.7258064516
15,15,126865.07462686567
16,16,206697.2340425532
17,17,207531.2962962963
18,18,227423.05555555556
19,19,196093.63636363635
20,20,216189.44444444444
21,21,169408.09523809524
22,22,252060.55555555556
23,23,232985.625
24,24,504870.0
25,25,270897.14285714284
26,26,294914.28571428574
27,27,70790.0
28,28,97651.2
29,29,205933.33333333334
30,30,122433.44262295082
31,31,446164.375
32,32,500.0
33,33,372982.5
34,34,58720.0
35,35,64754.375
36,36,67605.0
37,37,133543.33333333334
38,38,238080.0
39,39,120660.0
40,40,248997.5
41,41,146315.7142857143
42,42,310103.3333333333
43,44,0.0
44,45,30100.0
45,46,44800.0
46,47,34930.0
47,48,2360.0
48,49,402146.0
49,50,137468.57142857142
50,51,114710.0
51,52,98920.0
52,56,85700.0
53,60,22747.69230769231
54,63,0.0
55,66,2059510.0
56,70,30600.0
57,71,831110.0
58,75,32700.0
59,77,412080.0
60,90,39000.0
61,120,67930.0
