,x,y
0,0,15610.543218312265
1,1,4969.365125039239
2,2,6167.071872227151
3,3,8266.448736998515
4,4,15389.465648854963
5,5,11095.056603773584
6,6,19187.094017094016
7,7,9546.150943396226
8,8,119107.91666666667
9,9,66834.4
10,10,34958.25503355705
11,11,227411.6
12,12,217019.25925925927
13,13,319071.05263157893
14,14,62966.705202312136
15,15,86534.8905109489
16,16,241682.06896551725
17,17,457623.5714285714
18,18,280831.0344827586
19,19,434383.125
20,20,140021.36363636365
21,21,216574.77272727274
22,22,377076.52173913043
23,23,750039.3333333334
24,24,743758.947368421
25,25,402561.25
26,26,800643.75
27,27,634358.4615384615
28,28,38185.717948717946
29,29,356190.76923076925
30,30,74977.05882352941
31,31,467725.8024691358
32,32,596415.7142857143
33,33,967037.0
34,34,985181.0
35,35,89890.60606060606
36,36,647442.7272727273
37,37,695228.0
38,38,1075383.3333333333
39,39,1098722.0
40,40,414139.23076923075
41,41,1342880.0
42,42,368327.5
43,43,1543113.3333333333
44,44,1147054.375
45,45,839371.0
46,46,1293572.5
47,47,1054310.0
48,48,1101164.2857142857
49,49,753429.0909090909
50,50,791408.4615384615
51,51,1722433.3333333333
52,52,1093650.0
53,53,1117789.0
54,54,708190.0
55,55,537166.6666666666
56,56,4170.542635658915
57,57,1280265.0
58,58,1476857.5
59,60,12432.395209580838
60,61,1212225.0
61,62,370756.6666666667
62,63,0.0
63,64,0.0
64,65,478956.0
65,66,2342690.0
66,67,801440.0
67,68,2524960.0
68,69,0.0
69,70,0.0
70,74,1696800.0
71,76,2421500.0
72,77,0.0
73,83,395100.0
74,84,1631.8181818181818
75,90,0.0
76,91,0.0
77,92,43700.0
78,93,0.0
79,98,149218.88888888888
80,99,0.0
