,x,y
0,0,3546.25
1,1,3674.56333150174
2,2,10626.820702402958
3,3,9015.473653049141
4,4,9085.507900677201
5,5,8849.485861182518
6,6,17165.208333333332
7,7,16284.48275862069
8,8,42550.26315789474
9,9,73095.0
10,10,20552.424242424244
11,11,92559.28571428571
12,12,66810.0
13,13,96147.14285714286
14,14,30356.55172413793
15,15,16501.81818181818
16,16,221482.0
17,17,236610.0
18,18,116970.0
19,19,172236.66666666666
20,20,2230.0
21,21,0.0
22,23,68730.0
23,25,110953.33333333333
24,28,52355.38461538462
25,30,15355.0
26,31,51018.333333333336
27,33,540.0
28,34,238715.0
29,35,30080.0
30,36,24600.0
31,37,268590.0
32,39,2260.0
33,40,14245.0
34,43,6950.0
35,50,770.0
36,60,23857.14285714286
37,77,2720.0
38,80,34800.0
39,84,0.0
40,90,52383.333333333336
41,116,35330.0
